Sr No,Model Name,Skin Name,Image Link,Warning
144,Samsung Galaxy  A72,FrostByte,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_FrostByte.jpg,
145,Samsung Galaxy  A72,Ghost Katana,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Ghost%20Katana.jpg,
146,Samsung Galaxy  A72,Golden Matrix,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Golden%20Matrix.jpg,
147,Samsung Galaxy  A72,Golden Prism,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Golden%20Prism.jpg,
148,Samsung Galaxy  A72,Golden Veins,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Golden%20Veins.jpg,
149,Samsung Galaxy  A72,Graphite Groove,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Graphite%20Groove.jpg,
150,Samsung Galaxy  A72,Green Enigma,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Green%20Enigma.jpg,
151,Samsung Galaxy  A72,Holograph Heat,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Holograph%20Heat.jpg,
152,Samsung Galaxy  A72,Inferno Ice,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Inferno%20Ice.jpg,
153,Samsung Galaxy  A72,Lava Lagoon,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Lava%20Lagoon.jpg,
154,Samsung Galaxy  A72,Leaf Lattice,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Leaf%20Lattice.jpg,
155,Samsung Galaxy  A72,Legendary Suit,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Legendary%20Suit.jpg,
156,Samsung Galaxy  A72,Light Tunnel,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Light%20Tunnel.jpg,
157,Samsung Galaxy  A72,Lightning Strike,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Lightning%20Strike.jpg,
158,Samsung Galaxy  A72,Liquid Dreams,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Liquid%20Dreams.jpg,
159,Samsung Galaxy  A72,Magma Glow,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Magma%20Glow.jpg,
160,Samsung Galaxy  A72,Mint Mayhem,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Mint%20Mayhem.jpg,
161,Samsung Galaxy  A72,Modern Block,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A72_Modern%20Block.jpg,
